Year,Month,Rate
2021,Jan,0.25
2021,Feb,0.50
2021,Mar,0.75
2021,Apr,0.75
2021,May,0.75
2021,Jun,1.25
2021,Jul,1.25
2021,Aug,1.75
2021,Sep,2.25
2021,Oct,2.25
2021,Nov,3.00
2021,Dec,3.50
2022,Jan,3.50
2022,Feb,0.50
2022,Mar,0.75
2022,Apr,1.00
2022,May,1.00
2022,Jun,1.25
2022,Jul,1.75
2022,Aug,1.75
2022,Sep,2.25
2022,Oct,2.25
2022,Nov,3.00
2022,Dec,3.50
2023,Jan,3.50
2023,Feb,4.00
2023,Mar,4.25
2023,Apr,4.50
2023,May,4.50
2023,Jun,5.00
2023,Jul,5.25
2023,Aug,5.25
2023,Sep,5.25
2023,Oct,5.25
2023,Nov,5.25
2023,Dec,5.25
2024,Jan,5.25
2024,Feb,5.25
2024,Mar,5.25
2024,Apr,5.25
2024,May,5.25
2024,Jun,5.25
2024,Jul,5.25
2024,Aug,5.00
