"Date","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (95% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [a] [b] [c]             IUM2WTL","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (90% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [d] [e] [b] [c]             IUMB482","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (75% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [a] [d] [b] [c]             IUMBV34","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (60% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [b] [c]             IUMZICQ","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (85% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [b] [c]             IUMZICR"
"31 Jul 24","5.99","5.64","4.99","4.81","5.21"
"30 Jun 24","6.08","5.66","5.16","5","5.3"
"31 May 24","6.06","5.67","5.19","5.01","5.31"
"30 Apr 24","5.88","5.48","4.99","4.87","5.17"
"31 Mar 24","5.83","5.39","4.96","4.8","5.16"
"29 Feb 24","5.73","5.26","4.76","4.62","4.99"
"31 Jan 24","5.87","5.44","4.71","4.62","5.04"
"31 Dec 23","6.18","5.69","5.03","4.89","5.38"
"30 Nov 23","6.38","5.81","5.28","5.13","5.65"
"31 Oct 23","6.6","6.06","5.6","5.52","5.94"
"30 Sep 23","6.75","6.37","5.91","5.93","6.14"
"31 Aug 23","6.93","6.57","6.18","6.21","6.35"
"31 Jul 23","6.88","6.49","6.22","6.22","6.35"
"30 Jun 23","6.28","5.75","5.49","5.47","5.59"
"31 May 23","5.67","5.08","4.72","4.69","4.92"
"30 Apr 23","5.65","5.07","4.6","4.53","4.88"
"31 Mar 23","5.77","5.23","4.74","4.57","4.98"
"28 Feb 23","5.86","5.35","4.79","4.71","5.03"
"31 Jan 23","6.02","5.66","5.14","5.01","5.26"
"31 Dec 22","6.3","6","5.43","5.33","5.57"
"30 Nov 22","6.59","6.28","5.98","5.82","6.11"
"31 Oct 22","6.42","6.2","5.99","5.94","6.17"
"30 Sep 22","4.67","4.48","4.17","4.21","4.37"
"31 Aug 22","4.14","3.93","3.6","3.51","3.69"
"31 Jul 22","3.96","3.69","3.48","3.43","3.48"
"30 Jun 22","3.48","3.15","2.87","2.87","2.95"
"31 May 22","3.2","2.85","2.63","2.55","2.72"
"30 Apr 22","2.95","2.58","2.35","2.25","2.46"
"31 Mar 22","2.8","2.38","2.14","2.01","2.22"
"28 Feb 22","2.72","2.03","1.78","1.65","1.87"
"31 Jan 22","2.73","1.95","1.64","1.42","1.74"
