price_paid,sold_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,year,month,day,address,full_address,epc_rating,sqm,council_tax_band,crime_rate,lat,lng,bank_rate,inflation_rate,2_year_95%_LTV,2_year_90%_LTV,2_year_75%_LTV,2_year_60%_LTV,2_year_85%_LTV,regional_employment,regional_gdp,train_station_distance_miles,train_station_name,shopping_mall_distance_miles,shopping_mall_name,leisure_distance_miles,leisure_name,gym_distance_miles,gym_name,park_distance_miles,park_name,proximity_to_london_miles,primary_school_distance_miles,primary_school_name,secondary_school_distance_miles,secondary_school_name,bedrooms,bathrooms,extra_features
432665.0,2023-06-05,NW9 9DD,Terraced,N,Freehold,,52,BRAMPTON ROAD,KINGSBURY,LONDON,BRENT,GREATER LONDON,A,2023.0,6.0,5.0,52 BRAMPTON ROAD,"52, Brampton Road, London, Greater London Nw9 BDD",D,124.0,D,66.6,51.588653,-0.2778286,5.0,10.1,6.28,5.75,5.49,5.47,5.59,67.6,,1.09,Kenton,0.94,Silkbridge Retail Park,0.93,Barnet Burnt Oak Leisure Centre,0.15,The Gym Group London Kingsbury,0.15,Eton Grove Open Space,5.12,0.14,Roe Green Infant & Nursery School,0.09,Kingsbury High School (Upper School),3.0,2.0,A1 LOCATION!3 BEDROOMSTHROUGH LOUNGEAVAILABLE UN/PART FURNISHEDVACANT NOW2 BATHROOMSLEAN-TOOFF STREET PARKING3-5 MINS TO STN
625000.0,2022-12-15,NW9 9DD,Terraced,N,Freehold,,54,BRAMPTON ROAD,KINGSBURY,LONDON,BRENT,GREATER LONDON,A,2022.0,12.0,15.0,54 BRAMPTON ROAD,"54, Brampton Road, London, Greater London Nw9 BDD",D,124.0,E,66.6,51.588653,-0.2778286,3.5,10.7,6.3,6.0,5.43,5.33,5.57,69.3,8967.0,1.09,Kenton,0.94,Silkbridge Retail Park,0.93,Barnet Burnt Oak Leisure Centre,0.15,The Gym Group London Kingsbury,0.15,Eton Grove Open Space,5.12,0.14,Roe Green Infant & Nursery School,0.09,Kingsbury High School (Upper School),4.0,1.0,Four bedroomsTwo reception roomsKitchen dinerDownstairs WCBathroomRear gardenStorage roomOff street parking
800000.0,2022-03-03,SW11 4FW,Flat,Y,Leasehold,APARTMENT 98,"BOWDEN HOUSE, 9",PALMER ROAD,,LONDON,WANDSWORTH,GREATER LONDON,A,2022.0,3.0,3.0,"APARTMENT 98 BOWDEN HOUSE, 9 PALMER ROAD","Apartment 98, Bowden House, 9, Palmer Road, London, Greater London Sw11 9FW",B,185.0,D,138.6,51.4791204,-0.1471476,0.75,7.0,2.8,2.38,2.14,2.01,2.22,89.2,7716.0,0.1,Battersea Park,0.14,Battersea Power Station,0.44,Dolphin Square Sports Centre,0.02,Circle8fitness Ltd,0.05,Prince of Wales Garden,1.24,0.11,Newton Preparatory School,1.18,Emanuel School,,,
803700.0,2022-02-22,SW11 4FT,Flat,Y,Leasehold,APARTMENT 49,"BOWDEN HOUSE, 9",PALMER ROAD,,LONDON,WANDSWORTH,GREATER LONDON,A,2022.0,2.0,22.0,"APARTMENT 49 BOWDEN HOUSE, 9 PALMER ROAD","Apartment 49, Bowden House, 9, Palmer Road, London, Greater London Sw11 4FT",B,94.0,D,138.6,51.4791204,-0.1471476,0.5,6.2,2.72,2.03,1.78,1.65,1.87,89.2,7716.0,0.1,Battersea Park,0.14,Battersea Power Station,0.56,Latchmere Leisure Centre,0.05,The Gym Group London Battersea,0.05,Prince of Wales Garden,1.24,0.11,Newton Preparatory School,1.18,Emanuel School,,,
744300.0,2022-04-01,SW11 4FW,Flat,Y,Leasehold,APARTMENT 94,"BOWDEN HOUSE, 9",PALMER ROAD,,LONDON,WANDSWORTH,GREATER LONDON,A,2022.0,4.0,1.0,"APARTMENT 94 BOWDEN HOUSE, 9 PALMER ROAD","Apartment 94, Bowden House, 9, Palmer Road, London, Greater London Sw11 9FW",B,185.0,D,138.6,51.4791204,-0.1471476,1.0,9.0,2.95,2.58,2.35,2.25,2.46,89.2,7716.0,0.1,Battersea Park,0.14,Battersea Power Station,0.56,Latchmere Leisure Centre,0.02,Circle8fitness Ltd,0.05,Prince of Wales Garden,1.24,0.11,Newton Preparatory School,0.45,Pimlico Academy,,,
1250000.0,2023-08-03,SW11 4FX,Flat,Y,Leasehold,APARTMENT 2,"SALISBURY HOUSE, 5",PALMER ROAD,,LONDON,WANDSWORTH,GREATER LONDON,B,2023.0,8.0,3.0,"APARTMENT 2 SALISBURY HOUSE, 5 PALMER ROAD","Apartment 2, Salisbury House, 5, Palmer Road, London, Greater London Sw11 2FX",B,146.0,E,138.6,51.4790459,-0.1464161,5.25,6.7,6.93,6.57,6.18,6.21,6.35,83.9,,0.1,Battersea Park,0.14,Battersea Power Station,0.57,Latchmere Leisure Centre,0.04,Circle8fitness Ltd,0.18,Power Station Park,1.24,0.1,Newton Preparatory School,1.19,Emanuel School,,,
600000.0,2022-12-15,NW9 9AJ,Terrace,N,Freehold,,13,GOLDSMITH LANE,,LONDON,BRENT,GREATER LONDON,A,2022.0,12.0,15.0,13 GOLDSMITH LANE,"13, Goldsmith Lane, London, Greater London Nw9 GAJ",D,105.0,D,31.52,51.5893969,-0.2678681,3.5,10.7,6.3,6.0,5.43,5.33,5.57,69.3,8967.0,0.88,Hendon,0.71,Silkbridge Retail Park,0.75,Barnet Burnt Oak Leisure Centre,0.14,Vincent De Lima Fitness,0.05,Roe Green Village Green,4.95,0.08,The Village School,0.19,Kingsbury High School (Upper School),3.0,1.0,3 BEDROOMSEND OF TERRACEGARDENOFF STREET PARKINGFREEHOLD
700000.0,2022-04-21,SW11 4FT,Flat,Y,Leasehold,APARTMENT 45,"BOWDEN HOUSE, 9",PALMER ROAD,,LONDON,WANDSWORTH,GREATER LONDON,B,2022.0,4.0,21.0,"APARTMENT 45 BOWDEN HOUSE, 9 PALMER ROAD","Apartment 45, Bowden House, 9, Palmer Road, London, Greater London Sw11 4FT",B,94.0,D,138.6,51.4791204,-0.1471476,1.0,9.0,2.95,2.58,2.35,2.25,2.46,89.2,7716.0,0.1,Battersea Park,0.14,Battersea Power Station,0.56,Latchmere Leisure Centre,0.02,Circle8fitness Ltd,0.05,Prince of Wales Garden,1.24,0.11,Newton Preparatory School,1.18,Emanuel School,,,
1831000.0,2023-07-28,N8 7HH,Terraced,N,Freehold,,9,DANVERS ROAD,,LONDON,HARINGEY,GREATER LONDON,A,2023.0,7.0,28.0,9 DANVERS ROAD,"9, Danvers Road, London, Greater London N8 DHH",D,217.0,F,43.38,51.5882638,-0.130136,5.25,6.8,6.88,6.49,6.22,6.22,6.35,74.9,,0.49,Hornsey,0.62,"High Road, Wood Green",0.21,Park Road Pools & Fitness,0.09,Results+,0.17,Philosopher's Garden Picnic Area,3.48,0.22,St Mary's CE Primary School,0.31,Highgate Wood School,4.0,1.0,Quiet LocationArts & Crafts RichFour BedroomsTwo ReceptionsOriginal Tiled HallwayGuest CloakroomKitchen with Eating areaFamily BathroomBeautiful Westerly Garden
392000.0,2024-05-22,N8 7HF,Flat,N,Leasehold,FLAT 45,NORTH POINT,TOTTENHAM LANE,,LONDON,HARINGEY,GREATER LONDON,A,2024.0,5.0,22.0,FLAT 45 NORTH POINT TOTTENHAM LANE,"Flat 45, North Point, Tottenham Lane, London, Greater London N8 4HF",C,69.0,C,46.0,51.5834982,-0.1172253,5.25,4.0,6.06,5.67,5.19,5.01,5.31,,,0.19,Hornsey,0.52,The Mall Wood Green,0.34,Park Road Pools & Fitness,0.1,Trinity Fit,0.18,Priory Park,3.31,0.07,Rokesly Junior School,0.16,Greig City Academy,1.0,1.0,Double BedroomConciergeAllocated Off-Street ParkingOn-Site GymBalconyShared Garden
